Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
ADA2	0.699		0.477		0.699	0.477	0.477		0.778	0.477	0.602		0.477	0.301		0.301				0.778	0.602			0.477	0.000	0.699	0.602	0.602	0.301	0.778	0.000	0.477	0.845	0.000	0.477	0.845	0.477	0.477	0.477	0.699	0.301	0.778	0.699	0.301	
ADAM10	1.041	1.301	1.114	1.255	1.230	1.114	1.079	1.380	1.230	1.146	0.903	1.204	1.255	1.362	1.079	1.230	1.362	1.204	1.114	1.114	1.255	1.176	1.079	1.230	1.079	1.041	1.114	1.204	0.699	1.279	1.255	1.079	1.114	1.230	1.204	1.230	1.255	1.230	0.602	1.204	1.362	1.000	1.230	1.279	
ADAM17	1.146	1.114	0.845	1.176	0.845		0.778	1.114		1.079	0.778	0.903	1.000	1.041	0.778	1.146	1.204	0.903	1.041	0.845	1.000	1.041	1.146	0.845	0.301	0.845	0.301	0.903	0.000	1.000	1.079	1.079	0.477	0.954	1.079	1.114	1.079	0.903		0.954	1.079	0.602	0.477	1.230	
ADAM28	0.903		0.477	0.477	0.477	0.000		0.845		0.477					0.778	0.000		0.477	0.477		0.301			0.000		0.301	0.602	0.903		0.477		0.301		0.778		0.699	0.477		0.301				0.000	0.477	
ADAM9	0.301	0.477	0.477	0.000	0.301	0.000	0.602		0.301	0.699	0.602		0.000	0.301			0.301	0.477	0.000	0.477	0.000	0.000	0.301	0.301	0.301	0.477	0.301	0.301		0.301	0.477		0.000			0.000		0.602		0.477			0.477	0.602	
ADAMTS12	0.000	0.301	0.477	0.602	0.602	0.000	0.778	0.699	0.477	0.845		1.000	0.602	0.778	0.602	0.477	0.903	0.477	0.000	0.602		0.477	0.954			0.602	0.000	0.477	0.477	0.778	0.699				0.477	0.778		0.602		0.477	0.778	0.000	0.301	0.845	
ADAMTSL1			0.477	0.477	0.000	0.000	0.602		0.301	0.301		0.602	0.000	0.301		0.301	0.301			0.477	0.000	0.000	0.477	0.778		0.699			0.477					0.000		0.778		0.477		0.000	0.602	0.602	0.477		
ADAMTSL4										0.000																			0.477																
ADGRA2							0.301													0.477			0.000				0.000		0.000					0.000											
ADGRE5	1.362	1.176	1.230	1.322	1.146	1.114	1.342	1.279	1.079	1.279	1.079	1.362	1.255	1.342	1.204	1.322	1.279	1.230	0.903	1.041	1.255	0.845	1.255	1.204	1.079	1.114	1.079	1.114	0.778	0.954	1.255	0.845	1.041	1.230	1.079	1.146	1.000	1.146	0.954	1.279	1.230	1.041	1.041	1.398	
ADGRF5	0.000	0.477			0.477				0.000	0.477					0.000	0.000							0.000								0.301					0.000	0.000						0.000		
ADGRG1	0.954	0.954	0.602	1.255	0.845	0.699	0.699	1.176	0.699	1.000	1.041	1.000	0.778	1.114	1.204	1.176	1.204	0.477	1.079	0.778	1.114	0.602	1.114	0.845	0.602	0.845	1.146	0.699	0.301	0.903	0.903	0.845	0.477	1.041	0.903	1.079	1.000	0.954	0.477	0.903	1.000	0.602	0.699	1.114	
ADGRG2	0.301	0.699	0.903	1.079	0.301	0.845	0.301	0.699	0.699	0.477	0.954	1.146	0.845	0.845	1.146	1.544	1.114	1.176	0.477	1.079	1.000	0.000	0.602	1.114	0.954	0.845	1.176	0.699	0.954	0.477	0.699	0.000	1.000	0.699	0.477	0.301	1.114	0.602	0.477	0.602	0.845	0.699	1.041	1.000	
ADGRG6					0.602										0.602			0.903			0.301												0.301			0.000									
ADGRL2	0.301		0.301	0.301	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.477		0.000	0.000	0.477	0.477		0.477	0.000	0.477		0.477	0.301	0.000	0.000	0.301		0.301	0.602		0.301	0.000	0.000	0.301	0.477	0.477	0.301		0.301	0.301	0.602	0.000	0.602	
AEBP1	0.903	1.000	1.380	1.255	0.845	1.146	1.362	1.301	1.255	1.301	1.322	1.462	1.230	1.322	1.398	1.301	1.301	1.079	0.954	1.447	1.230	0.954	1.255	1.342	1.176	1.362	1.230	1.000	1.301	0.845	0.602	0.301	1.230	0.903	1.000	1.204	1.114	1.230	0.845	1.114	1.362	1.204	1.362	1.279	
AFM	1.230	1.079	1.204	1.041	1.146	1.230	1.255	1.176	1.362	1.146	1.114	1.380	1.204	1.279	1.230	1.114	1.146	1.255	1.204	1.146	1.176	0.954	1.146	1.431	1.322	1.041	1.279	1.146	1.279	1.230	1.204	1.146	1.146	1.079	1.204	1.041	1.176	1.114	0.954	1.362	1.279	1.041	1.204	1.176	
AGRN	0.301	0.301	0.477	0.778	0.477	0.778	0.778	0.903	0.954	0.699	0.954	0.778	0.778	0.699	0.699	0.845	0.954	0.301	0.301	0.778	0.778		0.903	0.699	0.602	0.477	0.778		0.477	0.000	0.602		0.845	0.903		0.477	0.301	0.477		0.602	0.845	0.699	0.301	0.699	
AGT	0.954	0.699	0.602	1.114	1.079	1.000	1.204	1.146	0.954	0.778	1.079	1.079	1.041	0.903	1.079	1.079	1.176	0.845	0.778	1.041	0.778	0.954	0.954	1.176	1.146	0.954	1.041	0.778	0.845	0.903	0.778	0.845	0.602	0.903	1.000	0.954	1.041	0.845	0.699	1.000	1.230	0.954	1.146	1.041	
AHNAK		1.041			0.903	1.041	0.000		0.000									0.301	0.778			0.903		0.000					0.845	0.301	0.845	0.954		0.301		0.903	0.845	0.778		0.903			1.230	0.301	
AHSG	1.724	1.322	1.462	1.556	1.544	1.681	1.708	1.519	1.708	1.653	1.663	1.699	1.813	1.591	1.716	1.690	1.964	1.531	1.756	1.663	1.690	1.415	1.672	1.813	1.663	1.447	1.690	1.431	1.756	1.544	1.477	1.477	1.591	1.672	1.681	1.380	1.613	1.342	1.301	1.716	1.633	1.531	1.623	1.568	
ALB	2.140	2.107	1.716	1.806	2.204	2.314	2.220	1.892	1.820	1.875	1.929	2.076	1.663	1.556	2.072	1.681	1.857	2.283	2.152	2.013	1.982	2.238	1.964	2.025	1.672	1.643	1.982	1.968	2.378	2.210	2.215	2.025	1.826	2.193	2.097	2.210	2.215	2.204	2.061	2.265	2.072	1.839	2.387	2.127	
ALCAM	1.322	1.342	1.531	1.724	1.544	1.398	1.544	1.845	1.623	1.708	1.362	1.763	1.505	1.544	1.462	1.672	1.732	1.613	1.591	1.778	1.681	1.279	1.813	1.362	1.462	1.568	1.531	1.176	1.362	1.230	1.724	1.491	1.477	1.556	1.204	1.556	1.613	1.613	1.362	1.431	1.964	1.602	1.491	1.505	
ALDOA	0.602	0.845	0.000		0.954	0.903									0.000			1.204	0.602			1.146				0.000		0.000	0.903	1.176	1.415	0.477		0.954		1.079	1.204	1.000	1.176	0.903	0.000		1.342	1.079	
ALG9	0.000			0.477	0.477	0.000	0.477	0.477	0.477	0.301		0.602	0.000		0.477		0.602	0.477	0.000	0.699			0.477	0.477			0.477	0.602		0.000				0.301	0.477	0.477	0.602	0.477	0.000		0.301			0.477	
ALPL	1.255	1.204	1.114	1.740	1.079	0.903	1.204	1.477	1.431	1.792	0.845	1.477	1.447	1.505	0.903	1.431	1.447	1.279	1.000	1.342	1.204	0.903	0.845	0.699	1.146	0.602	1.176	1.000	0.699	1.114	1.146	0.845	1.255	1.740	1.114	1.415	0.954	1.079	0.477	1.623	1.415	1.301	1.079	1.322	
AMBP		0.301	0.602	0.602		1.041	1.322	0.845	0.954	0.903	0.845	1.000	0.778	0.477	0.903	0.477	0.954	0.477		0.778			0.845	1.255	0.903	0.602	0.903		0.699	0.301			0.602	0.602	0.602				0.301	1.114	0.778	0.954	0.845	0.602	
ANGPT2				0.000						0.699	0.301							0.000									0.000			0.477				0.477			0.000	0.301							
ANGPTL2	0.477	0.602	0.301	0.477	0.301	0.477	1.114	0.778	0.699	1.114	0.477	0.845	0.301	0.301	0.778	0.602	1.041	0.477	0.477	0.845	0.602	0.477	0.845	0.602	0.699	0.477	0.845	0.000	0.602	0.477	0.301	0.477	0.477	0.477	0.602	0.477	0.477	0.301	0.477	0.602	0.903	0.477	0.301	0.301	
ANO6	0.778	0.845	0.954	0.903	0.778	0.778	0.778	0.845	0.954	0.778	0.903	0.778	0.778	0.903	0.778	0.954	0.954	0.778	0.778	0.602	0.954	0.778	0.954	1.000	0.903	0.778	0.602	0.778	0.477	0.778	0.778	0.699	1.000	0.903	0.778	0.778	0.778	0.903	0.699	0.954	0.845	0.845	0.845	0.778	
ANP32A		0.000			0.477													0.477				0.301							0.000		0.477			0.301		0.301	0.000	0.301							
ANPEP	1.204	1.342	1.556	1.613	1.279	1.505	1.431	1.602	1.672	1.623	1.519	1.556	1.681	1.672	1.544	1.643	1.681	1.380	1.342	1.944	1.633	1.519	2.117	1.544	1.362	1.415	1.672	1.380	1.342	1.477	1.462	1.708	1.322	1.342	1.362	1.204	1.477	1.322	1.398	1.544	1.580	1.491	1.477	1.591	
ANTXR1			0.602	0.602		0.000	0.699	0.602		0.602		0.778		0.477	0.602	0.477	0.699			0.602	0.477		0.778	0.699	0.477	0.477	0.000						0.477	0.477				0.301			0.699	0.477		0.000	
ANXA1		0.301			0.903	0.845												0.477	0.000								0.000		0.778	0.903	1.279			0.301		1.041	0.602	0.602	0.903	0.301	0.301		1.301	0.000	
ANXA2	0.699	1.041		0.699	1.000	1.255	0.778		0.000	0.000		0.602			0.301	0.477	0.699	1.146		0.000	0.301	1.176	0.000			0.000	0.778	0.602	1.301	1.079	1.146	0.699	0.301	0.778	0.301	0.903	0.903	0.903	1.176	0.778	0.778	0.000	1.613	0.602	
ANXA5		0.602			0.903	1.204	0.301	0.477	0.000			0.000			0.477			0.778		0.000		0.845	0.477	0.000				0.000	1.255		0.903			0.477		0.845	0.699	0.477	1.000	0.699	0.301		1.447	0.845	
ANXA6		0.301			0.477																								0.000							0.000			0.477				0.602		
AOC1			0.477	1.000															0.000		0.477	0.000			0.477											0.301	0.477								
AOC3	0.000	0.699	1.079	0.845	0.954	1.531	1.079	0.477	1.431	1.079	0.903	1.380	1.279	1.362	1.079	1.362	1.279	0.477	0.477	1.462	0.903	0.845	1.041	1.176	0.778	0.845	1.079		1.146	0.954	0.477	0.301	0.845	0.477	0.477	0.778	0.778	1.000	0.845	1.301	1.519	1.556	1.301	1.279	
APCS	0.477	0.602	0.845	0.602	0.699	1.000	1.568	0.699	1.431	0.301	0.778	1.204	1.000	0.903	1.000	0.845	1.462	0.903	0.845	1.146	0.699	0.602	1.079	1.380	0.778	0.699	0.903	0.477	0.954	0.477	0.602	0.477	0.699	0.699	0.301	0.699	0.699	0.954	0.778	0.845	1.079	0.954	1.301	0.778	
APMAP	1.279	1.398	1.447	1.398	1.431	1.279	1.431	1.380	1.477	1.431	1.477	1.398	1.362	1.505	1.431	1.362	1.398	1.431	1.398	1.544	1.477	1.415	1.415	1.362	1.431	1.398	1.342	1.230	1.255	1.398	1.279	1.322	1.398	1.505	1.380	1.342	1.230	1.398	1.398	1.255	1.447	1.447	1.380	1.380	
APOA1	1.079	1.000			1.000	1.176	0.903		0.301						0.778	0.477		0.954	0.699	0.477	0.477	1.000		0.477			0.000	0.301	1.415	0.602	0.845	0.477		0.903	0.602	1.204	1.041	1.041		1.079	0.699		1.079	0.602	
APOA2						0.602	0.301											0.000											0.602					0.000		0.301		0.301		0.000			0.845	0.000	
APOB	1.398	1.477	1.505	1.531	1.556	1.799	1.653	1.591	1.708	1.477	1.633	1.623	1.505	1.462	1.531	1.462	1.544	1.505	1.580	1.623	1.230	1.342	1.462	1.699	1.505	1.462	1.580	1.568	1.477	1.447	1.568	1.519	1.580	1.477	1.568	1.544	1.591	1.431	1.447	1.447	1.322	1.477	1.613	1.672	
APOD	0.778	0.778	0.903	1.301	0.845	1.301	1.079	1.041	1.079	1.041	1.041	1.176	1.041	1.114	1.230	1.176	1.114	1.000	0.602	1.041	1.041	0.602	0.845	1.204	1.114	0.954	1.041	0.301	0.954	0.845	0.845	0.477	1.146	1.041	1.000	0.954	0.699	0.845	0.000	1.000	1.230	0.903	1.079	1.041	
APOF	0.000						0.000	0.477	0.000		0.602				0.000				0.477	0.477					0.477		0.000		0.000			0.000					0.000								
APOH	1.544	1.322	1.505	1.531	1.531	1.623	1.591	1.613	1.568	1.613	1.643	1.732	1.672	1.623	1.643	1.556	1.663	1.778	1.681	1.447	1.544	1.398	1.362	1.653	1.519	1.568	1.544	1.544	1.591	1.491	1.613	1.398	1.519	1.556	1.681	1.462	1.477	1.447	1.301	1.623	1.740	1.568	1.491	1.568	
ARF1					0.301	0.000																0.602								0.000							0.301	0.000	0.602				0.477		
ARPC2					0.000		0.477						0.301						0.602	0.477								0.301		0.301	0.000	0.301			0.602	0.477	0.301	0.000				0.000	0.000		
ARSB	0.477	0.477	0.699	0.778	0.301	0.602	0.778	0.699	0.602	0.778		0.778	0.778	0.954	0.778	0.778	0.778	0.301	0.301	0.699	0.477	0.000	0.845	0.778		0.477	0.699	0.301	0.477	0.301	0.477			0.778	0.477	0.477	0.301	0.778		0.602	0.778			0.477	
ARSD		0.301	0.000		0.477	0.000	0.477	0.301	0.000	0.954					0.000	0.477		0.000	0.699	0.000	0.602			0.301		0.000	0.602			0.000			0.000	0.699		0.477	0.000						0.301	0.602	
ARSE																																		0.954											
ASAH1	1.079	1.041	1.342	1.690	1.301	1.230	1.398	1.663	1.505	1.580	1.322	1.462	1.544	1.279	1.380	1.362	1.591	1.176	1.146	1.398	1.362	1.041	1.462	1.491	1.322	1.230	1.505	1.204	1.146	1.176	1.146	0.778	1.580	1.398	1.146	1.114	1.041	1.322	0.778	1.431	1.699	1.362	1.398	1.633	
ASPH	0.845	0.845	0.903	0.845	0.903	0.602	0.903	0.699	0.954	0.845	0.699	0.699	0.845	0.903	0.602	0.778	0.699	0.778	0.845	0.845	0.954	0.602	0.778	0.602	0.699	0.699	0.699	0.778	0.602	1.000	0.903	0.778	0.602	0.954	0.954	0.778	0.845	0.954	0.602	0.778	0.954	0.699	0.845	0.778	
ASS1																						0.301											0.000	0.301		0.000	0.778	0.301	0.301				0.301	0.000	
ATP1B1	0.699	0.845	1.255	1.580	0.602	1.255	1.322	1.556	1.505	1.415	1.398	1.398	1.342	1.000	1.322	1.079	1.362	1.176	0.602	1.431	0.903		1.204	1.431	1.279	1.176	1.301	0.477	1.176	0.845	1.114		1.255	1.079	0.477	0.903	0.954	0.903	0.699	1.380	1.462	1.342	1.398	1.431	
ATP1B2			0.000				0.000		0.477		0.477		0.778			0.477	0.301	0.699	0.477	0.301							0.778	0.301	0.602				0.000	0.477	0.602	0.301			0.301			0.301	0.000		
ATP1B3	1.041	1.079	1.230	1.431	1.176	1.322	1.255	1.279	1.301	0.845	1.079	1.380	1.204	1.114	1.114	1.342	1.301	1.176	0.903	1.322	1.204	0.903	1.398	1.255	1.041	0.903	1.255	1.279	1.114	1.176	1.079	0.954	1.114	1.279	0.845	0.477	1.230	1.279	1.322	1.279	1.342	0.845	1.279	1.301	
ATP5A1		0.477		0.301	0.845	1.146	0.477		0.301						0.301			0.699	0.000	0.301		0.845					0.000		0.778	0.301	0.778	0.301	0.000	0.477		0.954	1.079	0.903	0.778	0.301	0.000		1.230	0.000	
ATP5B	0.000	0.778			1.041	0.845												0.699	0.301			0.699							0.845	0.699	0.845			0.477		1.114	1.114	1.079	1.079	0.778			1.230	0.301	
ATP6AP1	1.041	1.041	0.903	1.447	1.176	1.230	1.342	1.255	1.230	1.362	1.079	1.146	1.146	1.146	1.301	1.146	1.255	1.114	1.114	1.322	1.041	0.477	1.146	1.230	1.000	1.000	1.279	1.114	1.230	1.041	1.230	0.699	1.000	1.041	1.204	1.176	1.204	1.000	1.041	1.255	1.301	1.041	1.279	1.301	
ATP6V0A1	0.000	0.477	0.477		0.000	0.477	0.477		0.477	0.477	0.477		0.602	0.477	0.477	0.477		0.477	0.477	0.477	0.699		0.000	0.301	0.000	0.000	0.477	0.477	0.000	0.301	0.477		0.477		0.301	0.477	0.477			0.477	0.000	0.000		0.477	
ATRAID	0.477	0.477		0.699	0.477	0.602	0.477	0.477		0.699	0.000	0.477	0.602	0.477	0.301	0.602	0.699	0.477	0.477		0.477	0.477	0.477	0.000			0.477			0.477	0.477	0.477		0.477	0.477	0.477	0.477	0.301		0.845	0.477			0.477	
ATRN	1.301	1.114	1.041	1.176	1.176	1.041	1.230	1.255	0.778	1.322	0.903	1.230	1.041	1.279	1.146	1.204	1.079	1.204	1.176	0.903	1.176	1.041	0.954	1.204	1.114	0.699	0.778	0.954	1.000	1.230	1.230	1.146	0.778	1.362	1.301	1.114	1.146	1.322	0.602	1.204	1.079	0.699	0.477	1.146	
AZGP1	1.342	1.079	1.301	1.204	1.279	1.415	1.431	1.230	1.447	1.322	1.362	1.415	1.279	1.279	1.380	1.362	1.322	1.230	1.342	1.431	1.255	1.176	1.322	1.531	1.398	1.230	1.279	1.176	1.322	1.146	1.255	1.230	1.279	1.279	1.255	1.230	1.279	1.079	1.255	1.431	1.491	1.279	1.431	1.146	
AZU1	0.602	0.602	1.176	0.477	0.301	0.699	1.114	1.079	1.000	0.699	1.255	0.602	0.477	0.477	0.954	0.845	1.079		0.000	0.602	0.845	0.301	0.301	1.041	1.079	1.041			1.041		0.845	0.000	0.602	0.845	0.477		0.602	0.000		0.477	0.778	1.041	0.602	0.845	
B2M					0.301	0.301															0.000	0.000							0.477		0.477					0.301	0.602	0.301		0.000			0.477	0.301	
B3GNT2	0.301		0.477	0.000	0.000	0.000	0.000		0.477	0.000						0.000		0.000		0.477	0.602	0.602		0.477				0.477		0.477		0.301	0.301			0.477	0.301	0.477	0.477				0.301		
B4GALT3		0.301	0.301	0.477	0.000			0.477		0.477		0.778		0.477	0.000	0.602	0.477			0.301	0.301	0.000	0.602				0.301			0.000								0.477		0.301	0.699			1.000	
BANF1		0.301			0.000													0.602													0.602			0.000				0.477	0.000				0.301		
BCAM	1.398	1.230	1.362	1.756	1.255	1.398	1.415	1.699	1.415	1.491	1.279	1.531	1.491	1.613	1.322	1.462	1.833	1.322	1.462	1.505	1.342	1.000	1.613	1.398	1.176	1.079	1.643	1.431	1.146	1.041	1.230	1.176	1.146	1.643	1.255	1.580	1.415	1.623	1.279	1.415	1.826	1.204	1.322	1.544	
BCAT1																																					0.903								
BCHE	0.602	0.000	0.301	0.000	0.000	0.000		0.000	0.000				0.477	0.301			0.477	0.301	0.000				0.477	0.000	0.000		0.000		0.602	0.301	0.301	0.000		0.000	0.301		0.000			0.000	0.000	0.000			
BGN	1.568	1.613	1.643	1.708	1.544	1.820	1.845	1.799	1.886	1.763	1.568	1.813	1.833	1.732	1.799	1.708	1.785	1.613	1.362	1.724	1.690	1.633	1.806	1.806	1.785	1.653	1.763	1.342	1.881	1.653	1.544	1.602	1.690	1.699	1.623	1.544	1.544	1.591	1.568	1.740	1.924	1.716	1.732	1.778	
