Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
CTHRC1		0.000	0.301	0.000	0.000	0.000			0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.477		0.000	0.000	0.301	0.000	0.477		0.000	0.301	0.000			0.301	0.000	0.000			0.301			0.000	0.000	0.000	0.000	
CTSA	0.000	0.301	0.602	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.301	0.477	0.301	0.477	0.301	0.000	0.301	0.301	0.301	0.477	0.000	0.000	0.602	0.477	0.301	0.477	0.477	0.000	0.301	0.477	0.477	0.477	0.477	0.602	0.301	0.000	0.301	0.477	0.301	0.602	0.477	0.477	0.477	0.477	
CTSB	0.301	0.301	0.477	0.301	0.000	0.301	0.477	0.477	0.301	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.301	0.301	0.000	0.301	0.477	0.301	0.301	0.301	0.477	0.477	0.301	0.000	0.000	0.477	0.301		0.477	0.477	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.477	0.301	0.301	
CTSC	0.301	0.301	0.602	0.602	0.301	0.602	0.602	0.602	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.602	0.602	0.301	0.477	0.602	0.477	0.477	0.602	0.301	0.477	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.301	0.477	0.000	0.602	0.602	0.477	0.602	0.602	
CTSD	0.477	0.477	0.602	0.845	0.602	0.699	0.845	0.699	0.699	0.602	0.699	0.477	0.602	0.699	0.699	0.477	0.602	0.301	0.602	0.699	0.699	0.699	0.699	0.602	0.778	0.699	0.778	0.477	0.301	0.477	0.477	0.477	0.845	0.778	0.477	0.477	0.699	0.477	0.000	0.602	0.602	0.301	0.845	0.699	
CTSF		0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.477	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.000			0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.301		0.000	0.301	0.000	0.000	0.301	0.477	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	
CXADR	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301		0.301	0.000	0.301	0.000	0.301	0.000	0.301	0.000	0.301		0.000	0.301	0.000	0.301	0.301		0.000	0.301	0.301	0.000	0.301	0.301	
CYBB	0.602	0.477	0.602	0.602	0.778	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.699	0.477	0.602	0.602	0.602	0.477	0.477	0.602	0.477	0.000	0.602	0.602	0.477	0.602	0.602	0.602	0.602	0.477	0.602	0.477	0.602	0.602	0.602	0.602	0.602	0.477	0.301	0.602	0.602	0.602	0.477	0.602	
CYCS	0.000	0.000			0.000													0.000			0.000	0.000								0.000	0.000	0.000		0.000		0.000	0.000	0.000	0.000				0.301	0.000	
DAG1	0.477	0.301	0.477	0.477	0.301	0.000	0.301	0.477	0.477	0.301	0.301	0.477	0.301	0.301	0.477	0.477	0.477	0.301	0.301	0.301	0.000	0.000	0.477	0.301	0.477	0.301	0.301	0.000	0.301	0.000	0.301	0.000	0.301	0.477	0.000	0.301	0.477	0.477	0.301	0.477	0.477	0.301	0.602	0.477	
DCN	0.602	0.699	0.903	0.778	0.602	1.114	1.146	1.041	1.146	1.000	0.954	1.041	1.000	1.000	0.903	1.000	1.079	0.602	0.602	1.079	0.845	0.477	0.954	1.041	1.041	1.041	0.954	0.778	1.176	0.477	0.477	0.477	1.000	0.845	0.699	0.602	0.602	0.845	0.699	0.903	1.000	1.146	1.114	0.903	
DDX39B	0.000	0.301			0.301	0.000					0.000			0.000		0.000		0.477	0.000	0.000	0.000	0.301	0.000		0.000	0.000		0.000		0.301	0.301	0.000	0.000	0.477	0.000	0.477	0.602	0.301	0.602	0.000		0.000	0.301	0.301	
DEFA1											0.000											0.000							0.301																
DHX9		0.000			0.000																										0.000			0.000		0.000							0.000		
DNASE2	0.301	0.301	0.477	0.699	0.301	0.477	0.000	0.602	0.477	0.699	0.602	0.477	0.301	0.301	0.477	0.477	0.699			0.000	0.000	0.000	0.602	0.000	0.301	0.602	0.477	0.000		0.301	0.301		0.477	0.477		0.301	0.000			0.301	0.301	0.699		0.477	
DPEP1	0.000	0.000					0.000		0.000	0.000	0.000		0.477		0.000								0.301				0.000						0.301	0.000		0.000		0.000		0.000			0.301		
DPEP3	0.477	0.301	0.477		0.000		0.301	0.000	0.301	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.301							0.000		0.301		0.000	0.477	0.000	0.000	0.000		0.301	0.301			0.000	
DPP4		0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.301		0.000	0.301	0.000	0.000	0.000		0.000	0.000	0.000		0.301	0.000	0.000		0.000	0.000		0.000	0.000	0.000	0.301	0.000	
DPP6	0.000	0.301													0.301	0.301											0.000		0.000	0.000					0.000			0.000							
DPP7	0.000	0.301	0.301	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.301	0.477	0.301	0.301	0.477	0.477	0.477	0.477	0.301	0.477	0.301	0.000	0.477	0.301	0.477	0.301	0.477	0.699	0.301	0.301	0.301	0.000	0.301	0.477	0.301	0.301	0.477	0.477	0.301	0.301	0.477	0.301	0.301	0.477	
DPY19L4	0.000	0.000	0.000	0.000		0.000	0.000	0.301	0.000	0.000	0.000				0.000	0.000	0.301	0.000		0.000	0.000			0.000	0.000		0.000			0.000	0.000			0.000	0.000		0.000	0.000		0.000	0.000	0.000		0.000	
DSC2	0.602	0.602	0.602	0.602	0.301	0.602	0.602	0.477	0.602	0.699	0.602	0.602	0.602	0.602	0.602	0.699	0.477	0.699	0.602	0.602	0.477	0.301	0.699	0.602	0.477	0.602	0.778	0.602	0.602	0.477	0.602	0.301	0.477	0.699	0.477	0.602	0.602	0.477	0.301	0.699	0.602	0.477	0.602	0.845	
DSC3					0.301					0.000		0.000		0.000		0.000		0.000			0.000				0.000		0.301							0.301		0.000	0.301		0.000					0.301	
DSG2	0.477	0.602	0.699	0.699	0.778	0.845	0.477	0.778	0.699	0.602	0.699	0.602	0.778	0.602	0.699	0.602	0.602	0.845	0.477	0.954	0.699	0.477	0.699	0.845	0.778	0.477	0.903	0.602	0.602	0.602	0.602	0.477	0.778	0.602	0.602	0.699	0.778	0.602	0.477	0.699	0.602	0.477	0.699	0.699	
ECE1	0.845	0.845	0.699	0.903	0.778	0.699	0.699	0.903	0.778	0.845	0.699	0.699	0.903	0.845	0.778	0.845	0.778	0.845	0.845	0.845	0.845	0.699	0.778	0.778	0.699	0.602	0.778	0.845	0.602	0.602	0.699	0.778	0.477	0.778	0.699	0.845	0.778	0.778	0.602	0.845	0.845	0.602	0.699	0.778	
ECM2	0.000	0.000	0.000		0.000				0.000	0.000	0.000	0.000			0.000	0.000			0.000	0.301	0.000		0.000	0.000	0.000		0.000		0.000			0.000	0.000		0.000	0.000				0.000			0.000		
EDEM3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
EEF1A1	0.778	0.845	0.602	0.477	0.903	0.954	0.845	0.602	0.699	0.477	0.602	0.477	0.000	0.000	0.699	0.301	0.602	1.000	0.778	0.778	0.301	0.903	0.477	0.301	0.477	0.477	0.845	0.778	0.903	0.903	0.903	0.778	0.699	0.845	0.778	0.954	0.845	0.845	0.778	0.954	0.903	0.477	1.041	1.041	
EEF2					0.602	0.477												0.000				0.301									0.000			0.602		0.301		0.301		0.000			0.477	0.301	
EFCAB14				0.000	0.000		0.301	0.301	0.000	0.477			0.000		0.000		0.000																	0.000		0.000	0.000			0.000					
EFNB1				0.000				0.000		0.301						0.000							0.000	0.301			0.000							0.000			0.000								
EFNB2	0.000		0.000							0.000		0.000	0.000	0.000	0.000	0.000	0.301	0.000			0.000				0.000	0.000	0.000			0.000				0.301						0.000				0.000	
EGFR	0.000	0.000	0.301	0.000		0.000		0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.477	0.000		0.301	0.000	0.000	0.000	0.000	0.000	0.301			0.000	0.000		0.000	0.000					0.000	0.000	0.000	0.477	0.000	0.301		
EIF4A1					0.000																	0.301														0.000	0.000		0.000				0.477		
EIF5A		0.000	0.000		0.301	0.000												0.000				0.000									0.301			0.000		0.000		0.000	0.000				0.301	0.000	
ELANE	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.301		0.301	0.301	0.301	0.000	0.000	0.000	0.301		0.000	0.301	0.000	0.000	0.301	0.301	0.301	0.301		0.000	0.301	0.000	0.301	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	
EMID1	0.000	0.000		0.000			0.000			0.477	0.301				0.000				0.301		0.000						0.000			0.000				0.301		0.000	0.000	0.000						0.000	
EMILIN1	0.699	0.778	0.903	0.845	0.903	0.903	0.954	0.845	0.954	0.954	0.903	0.954	1.000	0.903	1.114	0.845	0.845	0.845	0.602	0.954	0.845	0.602	0.778	0.903	0.903	0.954	0.903	0.301	1.000	0.699	0.602	0.477	1.000	0.778	0.845	0.903	0.903	0.903	0.477	0.903	0.954	0.903	0.903	0.903	
EMILIN2	0.301		0.301	0.477	0.301	0.477	0.301	0.301	0.477	0.000	0.301	0.477	0.477	0.301	0.000	0.477	0.301	0.000	0.000	0.301	0.000		0.602	0.477	0.301	0.301	0.477	0.000	0.477		0.000		0.477	0.477	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.301	0.477	
ENO1	0.954	1.114	0.000	0.602	1.114	1.041	0.778	0.845	0.477		0.000	0.602	0.000		0.699	0.301	0.000	1.146	0.903	0.602	0.477	1.079	0.699	0.000	0.000	0.000	0.301	0.778	1.176	0.954	1.114	0.477	0.301	1.041	0.602	1.041	1.079	1.000	1.114	1.079	1.000	0.000	1.176	1.176	
ENPEP			0.301	0.301			0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.301	0.301			0.301			0.301	0.301	0.301	0.301							0.000						0.000		0.000	0.301	0.000	0.000	
ENPP1	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.477	0.477	0.602	0.301	0.602	0.301	0.477	0.477	0.477	0.477	0.000	0.000	0.477	0.301	0.000	0.301	0.477	0.301	0.477	0.000	0.301	0.301	0.000		0.000	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.477	0.477	0.477	0.301	
ENPP4	0.000		0.000	0.602	0.000			0.000			0.000			0.301	0.000	0.301	0.000	0.000		0.301	0.301			0.301	0.000						0.000		0.000	0.301						0.000	0.301	0.000		0.000	
ENPP5			0.301	0.477				0.477					0.000	0.000			0.000			0.000	0.000		0.301				0.301				0.000		0.000	0.000						0.000	0.000			0.301	
ENTPD1	0.699	0.477	0.477	0.699	0.477	0.477	0.477	0.602	0.301	0.477	0.000	0.602	0.699	0.602	0.477	0.602	0.699	0.301	0.602	0.301	0.477	0.602	0.699	0.477	0.301	0.000	0.602	0.477	0.477	0.602	0.602	0.699	0.301	0.477	0.477	0.477	0.477	0.602	0.301	0.477	0.602	0.477	0.301	0.301	
ENTPD2				0.699				0.477			0.000		0.000				0.000	0.000			0.301							0.000						0.301			0.000								
ENTPD3				0.000				0.301									0.000			0.000	0.000		0.000	0.301																					
EPCAM		0.000	0.000	0.778	0.301	0.000	0.301	0.778	0.000	0.301	0.000	0.301	0.000	0.477	0.000	0.477	0.699	0.301	0.301	0.000	0.000		0.477	0.301	0.000	0.000	0.477	0.477	0.000	0.000	0.602	0.000	0.301	0.301		0.000	0.477	0.000		0.477	0.602	0.000	0.000	0.602	
EPHA1					0.000	0.000						0.000																						0.000										0.301	
EPHB2	0.000	0.000		0.000		0.000	0.000	0.000		0.301		0.000	0.301	0.301	0.000	0.000	0.000	0.301		0.000	0.301	0.000	0.000	0.000		0.000	0.000	0.000		0.000					0.000	0.000	0.000					0.000	0.000	0.000	
EPHB3			0.000	0.301		0.000	0.000						0.000		0.000		0.301			0.301							0.000							0.000		0.000	0.000	0.000			0.000			0.000	
EPPK1																																											0.000		
ERAP1	0.000		0.000	0.699	0.000	0.477	0.301	0.477	0.301	0.477	0.000	0.000	0.301		0.000		0.301		0.000	0.477	0.301		0.699	0.301			0.477	0.000	0.000		0.000		0.000	0.602	0.000	0.000	0.000	0.301	0.000	0.301	0.000		0.301	0.477	
ERAP2	0.845	0.778	0.778	0.778	0.845	0.778	0.903	0.845	0.954	0.845	0.301	0.845	0.845	0.903	0.845	0.903	0.778	0.699	0.602	0.954	0.903	0.699	0.699	0.602	0.602	0.845	0.699	0.602	0.602	0.778	0.778	0.602	0.477	0.699	0.845	0.778	0.778	0.699	0.699	0.845	0.778	0.845	0.903	0.903	
ERBB3	0.000	0.477	0.301	0.602	0.301	0.301	0.602	0.602		0.602	0.477	0.602	0.602	0.602	0.477	0.477	0.477	0.477	0.602	0.301	0.602	0.301	0.477	0.301	0.602	0.477		0.301		0.602	0.477	0.000	0.602	0.477		0.301	0.477	0.301	0.000	0.301	0.477	0.301	0.000	0.602	
ERBB4		0.000	0.000		0.000		0.000		0.000	0.000			0.000	0.000		0.000	0.000	0.000		0.000	0.000		0.000				0.000	0.000		0.000	0.301			0.301	0.000	0.000		0.000	0.000	0.000	0.000			0.000	
ERLIN1	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.301	0.301	0.477	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.301		0.301	
ERMP1	0.000	0.477	0.000	0.477	0.000	0.301	0.301	0.301	0.477	0.000	0.301	0.000	0.301	0.000	0.477	0.301	0.000	0.477	0.301	0.301	0.477		0.301	0.301	0.477	0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.301	0.301		0.477		0.000	0.000	0.301	0.477	0.301	0.301	0.301	
ERO1A	0.000	0.301	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.477	0.000	0.000	0.000	0.000	0.301	0.301	0.477	0.000	0.000	0.301	0.301	0.000	0.301	
ERV3-1				0.000	0.000			0.000		0.000		0.301						0.000					0.000					0.000			0.000			0.000		0.000	0.000							0.000	
EXT1										0.000		0.000																									0.000								
F10																										0.000		0.000						0.000											
F11	0.301	0.000	0.477		0.000	0.000	0.000		0.301	0.000	0.301		0.000	0.000	0.477	0.000		0.301	0.301	0.301	0.000	0.000		0.301	0.301	0.000	0.000		0.301	0.301	0.000	0.301	0.000		0.301	0.000	0.301	0.000	0.000	0.000		0.000	0.301	0.000	
F11R				0.000	0.000			0.000		0.000		0.000	0.000			0.000	0.000	0.301					0.301											0.000		0.000		0.000		0.000	0.000				
F12	0.000	0.000	0.000		0.000		0.000			0.000	0.301	0.301		0.000		0.301	0.301	0.000	0.000		0.000			0.000	0.301				0.000	0.000			0.000	0.301	0.301		0.000	0.301	0.000	0.000	0.000	0.000	0.301	0.000	
F2	0.477	0.301	0.602	0.301	0.477	0.602	0.699	0.699	0.778	0.699	0.778	0.778	0.778	0.477	0.699	0.699	0.845	0.699	0.602	0.778	0.477	0.477	0.778	0.845	0.699	0.602	0.602	0.477	0.903	0.477	0.602	0.301	0.301	0.845	0.477	0.477	0.602	0.301	0.477	0.778	0.477	0.602	0.778	0.602	
F3	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.477	0.301	0.000	0.000	0.301	0.000	0.477	0.301	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.477	0.301	0.000	0.000	0.000	0.000	0.000	0.000	
F5			0.000	0.000				0.000	0.301	0.000	0.000		0.000			0.301													0.301											0.000		0.000			
FAM234A				0.301				0.000	0.000		0.000			0.000			0.000			0.000			0.000	0.000	0.000					0.000	0.000		0.000	0.301				0.000	0.000				0.000	0.000	
FAP	0.602	0.602	0.845	0.602	0.699	0.699	0.778	0.699	0.602	0.845	0.602	0.699	0.699	0.699	0.778	0.778	0.778	0.699	0.602	0.699	0.602	0.602	0.699	0.602	0.301	0.845	0.602	0.699	0.699	0.602	0.602	0.477	0.477	0.602	0.602	0.699	0.602	0.602	0.477	0.778	0.602	0.845	0.699	0.778	
FAT1	0.000	0.000	0.301	0.845	0.000	0.000	0.301	0.602	0.000	0.000		0.000	0.301	0.301	0.000	0.602	0.699	0.000	0.000	0.301	0.000		0.699	0.301		0.000	0.301	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.477	0.000	0.000		0.000	0.000		0.301	0.477	
FAT2	0.000	0.301	0.000	0.602	0.000	0.000	0.477	0.000	0.000			0.000				0.000	0.477	0.000	0.000		0.000	0.301	0.602				0.845					0.000	0.000					0.301		0.000				0.000	
FBLN1			0.000				0.000	0.000		0.301		0.000					0.000									0.000											0.000	0.000		0.000	0.000		0.000	0.000	
FBLN2	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
FBN1	0.699	0.954	0.845	0.903	0.845	1.041	1.114	1.000	0.903	1.000	0.903	1.079	0.954	1.000	1.000	1.000	1.000	0.699	0.602	0.954	0.778	0.699	0.778	0.954	0.903	0.903	0.903	1.041	1.000	1.000	0.778	0.699	0.903	1.000	0.954	0.845	0.699	1.000	0.699	1.000	1.000	0.954	1.079	0.954	
FBN2	0.000	0.000	0.000	0.699	0.000	0.000	0.000			0.477			0.000		0.000		0.000	0.000	0.000	0.000		0.000		0.000	0.000		0.000			0.000	0.000	0.000		0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.301		0.000	0.000	
FBN3		0.000	0.000		0.000					0.000			0.000	0.000			0.000		0.000		0.000													0.000		0.000			0.000	0.000	0.000				
FCGBP	0.602	0.477	0.903	0.845	0.778	0.778	0.699	0.778	0.845	0.602	0.477	1.000	0.778	0.778	0.954	0.699	0.903	0.602	0.477	0.699	0.778	0.602	0.903	0.903	0.477	0.477	0.778	0.699	0.602	0.699	0.602	0.301	1.041	0.602	0.477	0.477	0.845	0.699	0.301	0.778	0.845	0.477	0.903	0.845	
FCGR1A	0.477	0.477	0.477	0.301	0.699	0.477	0.477	0.301	0.301	0.477	0.477	0.301	0.301	0.602	0.477	0.602	0.301	0.477	0.301	0.602	0.602	0.477	0.477	0.477	0.301	0.301	0.602	0.602	0.301	0.477	0.000	0.301	0.477	0.301	0.477	0.602	0.477	0.602	0.301	0.477	0.477	0.301	0.301	0.602	
FCGR2B							0.000																0.000					0.000																	
FGA			0.301	0.301	0.778	1.000	0.477	0.699	0.301	0.301	0.477	0.699	0.301	0.000	0.301	0.699		1.114		0.000	0.000	0.845	0.699	0.301	0.000	0.000	0.000	0.477	1.380		0.845	0.000		0.954	0.477	0.477	1.204	0.602	0.301	0.301	0.301	0.778	1.000		
FGB	0.301	0.477	0.000	0.301	0.699	0.778	0.602	0.699	0.301	0.301	0.477	0.477	0.301	0.301	0.301	0.477	0.301	0.778	0.477	0.301	0.301	0.778	0.602	0.301	0.000	0.301	0.000	0.000	1.415	0.301	0.602	0.301	0.000	0.602	0.477	0.602	1.079	0.477	0.301	0.301	0.301	0.301	1.000	0.301	
FGFR1			0.000	0.301	0.000		0.000	0.000		0.602	0.000	0.000	0.000				0.301	0.000		0.000			0.000				0.301					0.000		0.000			0.000								
FGFRL1	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.301	0.000		0.301	0.301	0.301		0.301	0.000		0.000	0.000		0.000	0.301	0.000	0.000		0.301	0.000		0.301	0.000		0.000	
FGG	0.602	0.602	0.477	0.602	0.778	1.041	0.845	0.954	0.699	0.602	0.699	0.903	0.602	0.602	0.602	0.778	0.699	1.079	0.602	0.699	0.699	0.903	0.903	0.602	0.602	0.699	0.477	0.699	1.462	0.602	0.778	0.699	0.477	0.903	0.699	0.699	1.146	0.778	0.778	0.477	0.602	0.699	1.079	0.602	
FGL2	0.602	0.477	0.477	0.602	0.699	0.602	0.602	0.602	0.602	0.699	0.602	0.602	0.699	0.699	0.602	0.699	0.477	0.602	0.602	0.602	0.699	0.477	0.699	0.602	0.602	0.477	0.602	0.602	0.477	0.699	0.699	0.477	0.477	0.602	0.602	0.602	0.602	0.699	0.477	0.699	0.699	0.602	0.477	0.699	
FKBP10	1.000	1.079	0.954	1.041	1.079	1.000	1.041	1.079	1.000	1.114	1.000	1.041	1.079	1.041	1.000	1.000	1.079	1.079	0.845	1.000	1.000	0.954	1.146	1.000	0.954	0.954	1.000	0.954	1.041	1.000	1.079	0.778	0.954	1.230	1.041	0.903	1.000	1.114	0.903	1.000	1.000	0.954	1.000	1.000	
FKBP1A	0.301	0.000			0.000																	0.000						0.000		0.000	0.000			0.000	0.000	0.000	0.000	0.000					0.000	0.000	
FKBP9	0.602	0.778	0.699	0.699	0.778	0.699	0.602	0.602	0.778	0.845	0.602	0.602	0.699	0.602	0.602	0.602	0.699	0.778	0.699	0.699	0.602	0.477	0.778	0.699	0.602	0.602	0.699	0.602	0.602	0.699	0.778	0.301	0.602	0.845	0.699	0.699	0.699	0.845	0.477	0.778	0.602	0.602	0.778	0.699	
FLNA		0.301			0.477	0.699	0.000					0.000			0.301		0.000	0.477				0.699				0.000	0.000		1.041	0.699	0.699	0.000		0.778	0.000	0.602	0.301	0.903	0.903	0.301		0.000	1.301	0.602	
FLT1	0.000	0.000	0.301	0.477	0.000	0.000	0.301	0.602	0.477	0.699	0.477	0.699	0.000	0.301	0.301	0.301	0.477	0.000	0.000	0.000	0.301	0.301	0.699	0.301	0.477	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.477	0.301	0.000	0.000	0.301	0.000	0.000	
FMOD	0.000	0.000	0.301	0.477	0.000	0.477	0.477	0.477	0.301	0.477	0.301	0.301	0.301	0.301	0.477	0.000	0.301	0.301	0.000	0.602	0.000	0.000	0.477	0.477	0.477	0.301	0.477	0.000	0.301	0.000	0.000	0.000	0.602	0.477	0.301	0.000	0.000	0.000	0.000	0.301	0.477	0.301	0.477	0.301	
FN1	0.845	1.255	1.146	1.204	1.204	1.415	1.301	1.176	1.301	1.415	1.079	1.380	1.342	1.342	1.279	1.255	1.342	1.380	0.954	1.255	0.954	1.380	1.362	1.230	0.903	1.491	1.079	1.362	1.699	1.146	1.000	0.903	0.845	1.204	1.146	1.380	1.176	1.380	1.079	1.301	1.362	1.146	1.740	1.362	
FOLH1	0.301	0.000		0.000	0.477		0.000	0.301	0.301	0.000	0.477						0.301		0.477	0.301		0.301	0.301			0.000		0.000		0.000	0.301	0.301	0.602	0.477	0.477	0.000		0.477	0.000	0.477		0.000		0.301	
FOLR1	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.477	0.301	0.477	0.301	0.477	0.301	0.699	0.301	0.301	0.477	0.301	0.301	0.301	0.477	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.602	0.477	0.301	0.477	0.477	
FOXRED2	0.000	0.301		0.000	0.301	0.000	0.301	0.301	0.000	0.301		0.000	0.000	0.000		0.000		0.301	0.301	0.000	0.000	0.000	0.000				0.000			0.301	0.301			0.477	0.301	0.301	0.301	0.301		0.000		0.000		0.000	
FRAS1	0.000	0.301	0.000	0.699		0.000		0.000	0.000	0.000	0.000	0.000	0.000		0.000			0.000		0.301		0.000		0.000	0.301				0.301				0.301	0.602		0.301					0.000			0.000	
FREM2				0.699																														0.301											
FRRS1				0.000	0.000			0.000				0.000	0.000	0.000		0.000	0.301	0.000	0.000	0.301	0.000		0.000				0.000	0.000						0.000										0.000	
FSTL1	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.000	0.000	0.000		0.301	0.000	0.301	0.301	0.301		0.301	0.301	0.301	0.000			0.301		0.000	0.301	0.301	0.000	0.301	0.301			0.000	0.301	0.301	0.301	0.301	0.000	0.000	0.301		0.000	0.301	
FUCA2	0.000	0.301	0.000	0.301	0.301	0.000	0.477	0.000	0.000	0.477	0.477	0.000	0.477	0.477	0.301	0.477	0.000	0.301	0.000	0.000	0.477	0.000		0.301	0.301	0.301	0.301		0.000		0.301	0.000	0.477	0.000	0.000	0.301	0.000	0.000		0.301	0.000	0.301	0.000	0.301	
