Gene	01_CPTAC_COprospective_Proteome_VU_20150901	02_CPTAC_COprospective_Proteome_VU_20150904	03_CPTAC_COprospective_Proteome_VU_20150915	04_CPTAC_COprospective_Proteome_VU_20150915	05_CPTAC_COprospective_Proteome_VU_20150915	06_CPTAC_COprospective_Proteome_VU_20150915	07_CPTAC_COprospective_Proteome_VU_20150915	08_CPTAC_COprospective_Proteome_VU_20150928	09_CPTAC_COprospective_Proteome_VU_20150928	100_CPTAC_COprospective_Proteome_VU_20160806	101_CPTAC_COprospective_Proteome_VU_20160806	102_CPTAC_COprospective_Proteome_VU_20160806	103_CPTAC_COprospective_Proteome_VU_20160808	10_CPTAC_COprospective_Proteome_VU_20151002	11_CPTAC_COprospective_Proteome_VU_20151002	12_CPTAC_COprospective_Proteome_VU_20151016	13_CPTAC_COprospective_Proteome_VU_20151030	14_CPTAC_COprospective_Proteome_VU_20151030	15_CPTAC_COprospective_Proteome_VU_20151102	16_CPTAC_COprospective_Proteome_VU_20151102	17_CPTAC_COprospective_Proteome_VU_20151105	18_CPTAC_COprospective_Proteome_VU_20151105	19_CPTAC_COprospective_Proteome_VU_20151112	20_CPTAC_COprospective_Proteome_VU_20151112	21_CPTAC_COprospective_Proteome_VU_20151112	22_CPTAC_COprospective_Proteome_VU_20150202	23_CPTAC_COprospective_Proteome_VU_20150215	24_CPTAC_COprospective_Proteome_VU_20150215	25_CPTAC_COprospective_Proteome_VU_20160726	26_CPTAC_COprospective_Proteome_VU_20150810	27_CPTAC_COprospective_Proteome_VU_20150810	28_CPTAC_COprospective_Proteome_VU_20150810	29_CPTAC_COprospective_Proteome_VU_20150810	30_CPTAC_COprospective_Proteome_VU_20150810	31_CPTAC_COprospective_Proteome_VU_20150810	32_CPTAC_COprospective_Proteome_VU_20150818	33_CPTAC_COprospective_Proteome_VU_20150818	34_CPTAC_COprospective_Proteome_VU_20150824	35_CPTAC_COprospective_Proteome_VU_20150901	36_CPTAC_COprospective_Proteome_VU_20150824	37_CPTAC_COprospective_Proteome_VU_20150904	38_CPTAC_COprospective_Proteome_VU_20150904	39_CPTAC_COprospective_Proteome_VU_20150909	40_CPTAC_COprospective_Proteome_VU_20150909	41_CPTAC_COprospective_Proteome_VU_20151124	42_CPTAC_COprospective_Proteome_VU_20151124	43_CPTAC_COprospective_Proteome_VU_20151130	44_CPTAC_COprospective_Proteome_VU_20151202	45_CPTAC_COprospective_Proteome_VU_20151202	46_CPTAC_COprospective_Proteome_VU_20151209	47_CPTAC_COprospective_Proteome_VU_20151209	48_CPTAC_COprospective_Proteome_VU_20151209	49_CPTAC_COprospective_Proteome_VU_20151222	50_CPTAC_COprospective_Proteome_VU_20151222	51_CPTAC_COprospective_Proteome_VU_20160215	52_CPTAC_COprospective_Proteome_VU_20160223	53_CPTAC_COprospective_Proteome_VU_20160226	54_CPTAC_COprospective_Proteome_VU_20160226	55_CPTAC_COprospective_Proteome_VU_20160630	56_CPTAC_COprospective_Proteome_VU_20160303	57_CPTAC_COprospective_Proteome_VU_20160317	58_CPTAC_COprospective_Proteome_VU_20160318	59_CPTAC_COprospective_Proteome_VU_20160308	60_CPTAC_COprospective_Proteome_VU_20160311	61_CPTAC_COprospective_Proteome_VU_20160707	62_CPTAC_COprospective_Proteome_VU_20160311	63_CPTAC_COprospective_Proteome_VU_20160316	64_CPTAC_COprospective_Proteome_VU_20160318	65_CPTAC_COprospective_Proteome_VU_20160322	66_CPTAC_COprospective_Proteome_VU_20160323	67_CPTAC_COprospective_Proteome_VU_20160324	68_CPTAC_COprospective_Proteome_VU_20160406	69_CPTAC_COprospective_Proteome_VU_20160407	70_CPTAC_COprospective_Proteome_VU_20160421	71_CPTAC_COprospective_Proteome_VU_20160414	72_CPTAC_COprospective_Proteome_VU_20160422	73_CPTAC_COprospective_Proteome_VU_20160422	74_CPTAC_COprospective_Proteome_VU_20160422	75_CPTAC_COprospective_Proteome_VU_20160502	76_CPTAC_COprospective_Proteome_VU_20160502	77_CPTAC_COprospective_Proteome_VU_20160504	78_CPTAC_COprospective_Proteome_VU_20160915	79_CPTAC_COprospective_Proteome_VU_20160510	80_CPTAC_COprospective_Proteome_VU_20160517	81_CPTAC_COprospective_Proteome_VU_20160915	82_CPTAC_COprospective_Proteome_VU_20160520	83_CPTAC_COprospective_Proteome_VU_20160524	84_CPTAC_COprospective_Proteome_VU_20160524	85_CPTAC_COprospective_Proteome_VU_20160630	86_CPTAC_COprospective_Proteome_VU_20160628	87_CPTAC_COprospective_Proteome_VU_20160701	88_CPTAC_COprospective_Proteome_VU_20160705	89_CPTAC_COprospective_Proteome_VU_20160707	90_CPTAC_COprospective_Proteome_VU_20160728	92_CPTAC_COprospective_Proteome_VU_20160728	93_CPTAC_COprospective_Proteome_VU_20160729	94_CPTAC_COprospective_Proteome_VU_20160729	97_CPTAC_COprospective_Proteome_VU_20160801	98_CPTAC_COprospective_Proteome_VU_20160804	99_CPTAC_COprospective_Proteome_VU_20160801
EHD3	0.699	0.301	0.845	0.477	0.903	0.602	0.954	1.079	0.000	0.845	0.602	0.778	0.000	1.041	0.778	0.602	0.699	0.903	0.699	0.602		0.602	0.477	0.903	0.699	0.903	0.778	0.903	1.079	0.602	0.602	1.041	0.954	0.778	1.000	0.954	0.954	0.903	1.079	0.699	0.602	0.477	0.477	0.602	1.000	0.903	0.845	0.699	0.699	0.602	0.903	1.204	1.000	0.845	1.000	1.146	0.699	0.954	0.699	0.778	0.699	0.699	0.778	0.699	0.954	1.000	0.477	0.778	0.699	0.699	0.954	0.699	0.845	0.903	0.477	0.778	0.699	0.301	0.602	0.699	0.699	0.477	0.301	0.477	0.602	0.301	0.000	0.301	0.602	1.041	0.903	1.079	1.000	0.954	0.903	0.954	1.079	0.477	0.778	0.778	
EHD4	0.954	0.845	0.954	0.699	0.954	1.114	1.146	1.176	0.903	0.954	0.845	0.903	0.699	1.322	0.778	0.954	1.000	1.114	0.903	0.954	0.778	1.000	1.000	1.000	1.114	1.146	0.903	1.114	1.000	1.204	0.903	1.204	1.079	1.000	1.114	1.041	1.114	1.079	1.380	0.954	1.000	0.602	0.602	0.699	1.255	1.322	1.041	1.000	1.146	1.230	1.000	1.279	1.079	1.041	0.954	1.079	1.000	1.041	1.079	1.114	0.954	0.954	1.079	0.778	1.204	1.000	0.477	0.845	1.041	1.000	0.903	0.778	0.903	0.000	1.079	1.041	0.954	0.903	0.699	0.778	0.845	0.602	0.903	0.699	1.041	0.699	0.602	0.699	1.176	1.079	1.146	1.204	1.146	1.041	0.778	1.000	1.255	1.000	1.000	1.146	
EHF	0.000		0.000	0.000										0.000			0.000												0.301							0.301												0.000		0.000		0.000	0.000					0.000																																	0.301	0.000				0.000					
EHHADH	1.940	1.919	1.820	1.978	1.869	2.009	1.929	1.978	1.987	1.699	1.681	1.415	1.663	1.924	1.820	1.857	1.924	1.785	1.914	1.944	1.833	1.898	1.839	1.845	1.732	1.826	1.623	1.799	1.914	2.079	1.944	2.057	2.013	2.117	1.881	1.914	1.839	1.778	1.813	1.740	1.869	1.681	1.778	1.813	1.908	2.013	1.940	1.964	1.987	1.949	1.898	1.959	2.013	2.009	1.973	1.968	1.954	2.029	1.851	2.064	1.954	1.806	1.924	1.839	1.851	1.968	1.914	1.863	2.037	1.740	1.914	1.869	1.944	1.771	1.869	1.908	1.756	1.771	1.756	1.748	1.732	1.716	1.708	1.732	1.813	1.519	1.591	1.813	1.845	1.949	2.004	1.929	1.826	1.869	1.792	1.892	1.886	1.799	1.826	1.806	
EHMT1		0.000	0.000	0.000		0.301		0.000	0.000					0.000		0.000				0.000	0.000								0.000	0.000	0.000	0.000	0.301	0.000	0.301	0.301					0.000	0.000		0.301		0.000		0.000	0.301		0.000	0.602	0.477		0.000			0.000											0.301			0.000								0.301							0.301			0.000	0.477		0.301	0.000					0.000	0.000	
EI24	0.477			0.477	0.000	0.602	0.000	0.301	0.301	0.000				0.602	0.301	0.000	0.000		0.000		0.000	0.000				0.000	0.000	0.000		0.602	0.301	0.000	0.000	0.000	0.477	0.000		0.000				0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.000	0.301	0.000	0.000	0.000		0.301				0.000					0.301						0.000			0.000		0.000	0.000			0.000						0.000		0.000	0.301					0.000		0.000			
EIF1	0.301	0.000	0.301		0.602	0.602	0.477	0.602	0.602		0.301			0.778	0.301	0.000	0.602		0.000	0.000	0.301	0.301	0.477			0.699			0.477	0.845	0.699	0.845	0.699	0.903	0.602	0.778	0.602	0.477	0.602	0.000	0.000				0.699	0.602	0.954	0.778	0.845	0.301	0.778	0.602	1.000	0.778	0.477	0.845	0.000	0.699	0.000	0.602		0.000	0.477	0.000	0.000	0.477		0.477	0.000	0.000	0.477		0.301			0.000	0.000		0.301		0.000	0.000	0.000	0.000	0.477		0.000	0.301	0.602	0.477	0.778	1.079	0.000	0.301		0.000	0.000	0.000	0.301	0.301	
EIF1AY	0.602	0.903	0.903	0.301	0.602	0.903	0.699	0.778	0.778	0.602	0.778	0.699	0.000	0.903	0.778	0.477	0.903	0.778	0.845	0.699	0.602	0.845	0.954	0.699	0.602	0.699	0.477	0.477	0.903	0.845	0.778	0.954	0.301	1.000	1.041	0.903	0.699	0.845	0.845	0.602	0.845	0.602	0.000	0.301	0.477	0.845	1.114	0.778	0.903	0.903	0.778	0.845	0.954	1.000	0.699	0.845	0.602	0.845	0.301	0.954	0.699	0.000	0.602	0.000	0.699	0.699	0.000	0.602	0.778	0.477	0.699	0.778	0.301	0.477	0.778	0.699	0.301	0.301	0.778	0.778	0.477	0.301	0.301	0.477	0.477	0.602	0.477	0.602	0.845	1.000	1.079	1.000	0.903	0.845	0.477	1.000	0.778	0.301	0.845	0.778	
EIF2A	0.954	0.602	0.903	1.000	0.602	0.903	0.778	0.903	0.699	1.000	1.041	0.845	0.699	0.903	0.699	0.699	1.000	0.602	0.778	0.699	0.699	0.954	0.477	0.903	0.602	0.778	0.000	0.845	1.114	0.778	1.041	1.000	1.079	1.204	0.778	1.146	0.954	0.699	1.146	0.602	0.602	0.477	0.301	0.699	0.602	1.176	1.114	1.255	1.176	0.845	1.000	1.079	1.204	1.114	0.778	0.778	0.602	1.204	0.699	1.204	0.778	0.301	0.903	0.301	1.000	0.903	0.778	0.903	1.114	0.778	0.778	0.778	0.778	0.000	0.699	0.602	0.778	0.477	0.000	0.699	0.602	0.602	0.778	0.778	0.699	0.477	0.699	0.845	1.146	1.176	1.079	1.079	0.954	0.778	0.477	0.845	0.903	1.000	0.845	0.903	
EIF2AK2	1.255	0.778	1.041	1.322	1.176	1.255	1.279	1.114	1.204	0.477	0.954	0.602	0.845	1.279	1.041	1.398	1.000	0.301	0.845	1.079	1.041	1.204	1.230	1.204	1.114	0.778	0.699	1.000	1.114	1.176	1.114	1.255	1.041	1.041	1.176	1.041	1.041	0.903	0.903	0.778	0.845	0.477	0.602	0.778	0.954	0.954	1.204	1.079	1.301	1.176	1.041	1.176	1.204	1.204	0.845	1.114	0.954	0.845	0.778	1.255	0.903	0.699	0.954	0.602	0.903	0.954	0.602	0.954	1.079	0.778	1.000	0.602	0.903	0.000	1.079	0.954	0.903	0.602	0.845	0.602	1.000	0.602	0.477	0.903	0.477	0.699	0.903	0.845	0.699	0.903	1.079	0.954	0.954	0.954	0.778	0.778	0.954	0.301	0.477	0.602	
EIF2B1	0.301	0.477	0.477	0.778	0.778	0.699	0.477	0.699	0.778	0.301	0.301	0.301	0.301	0.954	0.301	0.699	0.477		0.000	0.301	0.477	0.845	0.602	0.301	0.477	0.477		0.301	0.301	0.602	0.477	0.477	0.301	0.301	0.845	0.954	0.477	0.602		0.000	0.000		0.000	0.000	0.699	1.000	0.602	0.845	0.778	0.301	0.903	0.954	0.778	0.778	0.477	0.477	0.301	0.699	0.000	0.301	0.301		0.602	0.477	0.477	0.477	0.301	0.301	0.301	0.301	0.602	0.301	0.301			0.301	0.000	0.000	0.000	0.000	0.301		0.000	0.301	0.000		0.000	0.000	0.602	0.778	0.699	0.699	0.477	0.778	0.477	0.477	0.602	0.477	0.699	0.602	
EIF2B2	0.301	0.301		0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000				0.000	0.301		0.000			0.477				0.301	0.000	0.301	0.301	0.000	0.000	0.000		0.602		0.477	0.000			0.000						0.301	0.000	0.845	0.477	0.000	0.000	0.477	0.602	0.477		0.699	0.301	0.477	0.000	0.301		0.301	0.301	0.301	0.477			0.000	0.477		0.477	0.000							0.000		0.000		0.000	0.301			0.301	0.000	0.301	0.477	0.699	0.602	0.699	0.000		0.000		0.000	0.000	0.000	
EIF2B3	0.602	0.000	0.000	0.301	0.301	0.301	0.477	0.000	0.301	0.477	0.000	0.301	0.301	0.301	0.000		0.000	0.000	0.000		0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.602	0.301	0.699	0.778	0.477	0.477	1.000	0.000	0.000	0.477	0.000	0.000	0.000		0.000	0.000	0.699	0.301	0.845	0.301	0.301	0.699	0.602	0.699	0.301	0.000	0.602	0.000	0.477	0.000	0.477	0.000	0.000	0.301	0.301	0.477	0.301	0.301	0.301	0.000	0.301	0.000		0.477		0.301	0.000			0.301	0.000	0.301	0.000	0.000	0.000		0.000	0.301	0.477	0.000	0.301	0.954	0.477	0.477	0.000	0.301		0.000	0.301	0.000		
EIF2B4	0.845	0.477	0.778	0.602	0.602	0.778	0.602	0.845	0.903	0.301	0.602	0.477	0.301	0.845	0.301	0.301	0.699		0.477	0.699	0.477	0.699	0.903	0.301		0.699		0.602	0.301	0.602	0.845	0.778	0.903	0.903	0.602	0.954	0.477		0.477	0.000	0.477		0.602	0.301	0.477	0.845	0.845	0.903	0.477	0.778	0.903	0.778	0.954	0.954	0.301	0.778	0.000	0.602	0.477	0.778	0.000		0.602	0.301	0.477	0.477	0.301	0.477	0.778	0.477	0.477	0.477	0.477	0.000	0.699	0.477	0.000	0.301	0.699	0.301	0.477	0.301	0.301	0.477	0.000	0.301	0.000	0.477	0.602	0.699	0.778	0.602	0.699	0.301	0.000	0.000	0.477	0.000	0.301	0.301	
EIF2B5	0.602	0.000		0.477	0.477	0.000	0.301	0.477	0.778	0.301	0.301			0.699	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.477	0.602			0.000	0.301	0.000	0.301	0.699	0.477	0.477	0.000	0.778	0.477	0.602			0.301	0.000			0.000	0.000		0.778	0.699	0.845		0.301	0.602	0.301	1.000	0.845		0.477		0.000		0.699	0.301		0.301		0.477	0.000		0.301	0.699	0.000	0.000	0.301			0.000		0.301		0.301		0.000						0.000		0.301	0.477	0.477	0.477	0.301	0.000	0.000	0.000	0.301			0.000	
EIF2D					0.477	0.301	0.000	0.000	0.477	0.000		0.000					0.000			0.000						0.000			0.000	0.000		0.000	0.000	0.000		0.000			0.301			0.000	0.000			0.000	0.477	0.602	0.477		0.301	0.000	0.000		0.000	0.301	0.000			0.000	0.000				0.000			0.000	0.000																					0.000		0.000						0.000	0.000		
EIF2S1	1.000	0.301	0.699	1.079	0.699	1.000	0.903	0.845	1.230	0.699	1.000	0.778	0.602	1.079	0.778	0.778	0.845	0.477	0.903	0.903	0.699	1.041	0.845	0.778	0.778	0.954	0.903	0.954	0.954	0.845	0.845	1.000	1.000	1.000	1.146	1.079	0.954	0.903	1.000	0.602	0.602	0.477	0.301	0.699	0.699	1.114	1.176	1.301	1.114	0.845	1.146	0.903	1.176	1.000	0.778	1.255	1.041	1.204	0.699	1.255	0.699	0.954	1.000	0.903	1.041	1.000	1.000	0.845	1.041	0.903	0.903	0.845	0.699	0.699	0.845	0.778	0.699	0.602	1.146	0.845	0.699	0.602	0.954	0.778	1.000	0.602	0.845	0.602	1.114	1.230	1.176	1.204	0.954	0.954	0.602	1.041	0.699	0.778	1.041	0.954	
EIF2S2	0.845	0.477	0.699	0.903	0.699	0.845	0.903	0.778	0.845	0.477	0.301	0.000	0.301	0.845	0.845	0.301	0.954	0.778	0.602	0.778	0.845	1.041	0.845	0.602	0.699	0.778	0.602	0.301	0.954	0.903	0.699	0.903	0.845	1.176	1.000	1.204	0.778	0.477	1.000	0.602	0.845	0.301	0.477	0.602	0.602	0.954	1.176	1.301	1.079	0.954	1.079	0.699	1.114	0.699	0.954	1.114	0.845	1.079	0.301	1.000	0.477	0.000	1.000	0.699	1.079	0.602	0.845	0.778	1.041	0.477	0.602	0.699	0.000	0.477	0.477	0.477	0.477	0.301	1.146	0.699	0.778	0.301	0.954	0.845	0.602	0.699	0.845	0.477	0.778	1.041	1.041	1.041	0.954	0.903	0.301	0.699	0.602	0.301	0.477	0.845	
EIF2S3	1.342	0.954	1.000	1.279	1.114	1.380	1.176	1.301	1.301	1.079	1.079	0.778	0.778	1.230	0.903	1.176	1.146	1.079	1.255	1.114	1.204	1.322	1.255	1.204	1.114	1.301	0.954	1.114	1.279	1.342	1.204	1.398	1.204	1.462	1.322	1.380	1.146	1.114	1.380	0.903	1.176	0.845	0.903	1.041	1.079	1.398	1.462	1.591	1.362	1.279	1.380	1.301	1.398	1.230	1.279	1.491	1.322	1.431	1.079	1.301	1.146	0.954	1.301	1.041	1.362	1.362	0.954	1.041	1.342	1.000	1.079	1.114	1.204	0.903	1.114	1.000	1.041	0.954	1.255	1.000	1.230	0.699	1.146	1.041	1.114	0.903	0.903	0.903	1.255	1.279	1.322	1.342	1.342	1.255	1.114	1.342	1.146	1.230	1.204	1.079	
EIF3A	1.505	1.380	1.431	1.477	1.531	1.580	1.447	1.544	1.556	1.176	1.462	1.146	1.146	1.556	1.301	1.301	1.462	1.079	1.447	1.301	1.342	1.342	1.544	1.322	1.079	1.362	1.342	1.519	1.462	1.653	1.643	1.732	1.380	1.653	1.477	1.690	1.491	1.322	1.531	1.415	1.301	1.362	1.279	1.415	1.301	1.663	1.748	1.857	1.602	1.580	1.556	1.602	1.633	1.613	1.398	1.568	1.415	1.519	1.380	1.447	1.342	1.255	1.398	1.255	1.491	1.544	1.255	1.380	1.672	1.301	1.415	1.342	1.322	1.041	1.301	1.431	1.415	1.079	1.230	1.255	1.204	1.079	1.398	1.079	1.431	1.041	1.255	1.255	1.491	1.462	1.748	1.568	1.519	1.591	1.342	1.477	1.556	1.279	1.477	1.398	
EIF3B	1.230	0.477	1.041	1.204	1.301	1.362	1.255	1.279	1.362	0.903	1.079	0.699	0.602	1.380	1.176	1.000	1.342	0.845	1.204	1.230	0.903	1.279	1.176	0.903	0.778	1.230	1.230	1.114	1.255	1.431	1.146	1.398	1.204	1.176	1.279	1.362	1.204	0.845	1.279	0.903	1.114	0.845	0.954	1.114	1.079	1.491	1.398	1.447	1.447	1.079	1.230	1.279	1.398	1.342	1.204	1.462	1.146	1.322	1.000	1.301	1.176	1.000	1.322	1.041	1.322	1.362	0.845	1.146	1.301	1.114	1.146	1.041	1.079	0.477	0.903	1.146	1.000	0.845	1.079	0.954	0.903	0.699	0.903	1.000	1.114	0.602	1.176	0.845	1.398	1.342	1.462	1.505	1.279	1.380	1.114	1.230	1.230	0.903	1.114	1.079	
EIF3C	1.279	1.146	1.114	1.380	1.079	1.322	1.230	1.204	1.322	0.954	1.114	1.114	0.699	1.255	0.954	1.114	1.146	1.041	1.146	1.176	1.000	1.176	1.176	1.204	1.041	1.079	1.114	1.230	1.301	1.322	1.204	1.301	1.146	1.255	1.204	1.380	1.279	1.079	1.204	0.954	1.146	0.845	1.000	1.146	1.146	1.301	1.477	1.322	1.362	1.146	1.279	1.301	1.415	1.204	1.204	1.380	1.255	1.279	1.204	1.255	1.000	1.176	1.255	1.301	1.176	1.431	1.079	1.204	1.380	1.079	1.146	1.146	1.146	0.602	1.176	1.230	1.322	0.845	1.079	1.079	1.146	0.699	1.301	1.000	1.146	0.778	1.146	1.079	1.146	1.301	1.342	1.322	1.279	1.279	1.114	1.041	1.204	1.176	1.204	1.146	
EIF3D	0.602	0.699	0.845	0.845	0.778	0.903	0.477	0.845	0.903	0.699	0.845	0.477	0.477	1.041	0.845	0.301	0.903	0.301	0.903	0.903	0.602	0.699	0.903	0.301	0.602	0.845	0.477	0.000	0.903	0.778	0.845	1.041	0.903	1.000	0.903	0.903	0.778	0.602	0.699	0.301	0.602	0.477	0.602	0.699	0.845	0.778	1.114	1.000	0.903	0.699	0.845	1.000	1.041	0.845	0.602	0.954	0.477	0.845	0.000	0.954	0.602	0.301	0.699	0.000	0.602	0.699	0.301	0.477	0.903	0.301	0.477	0.699	0.699		0.602	0.602	0.778		0.778	0.301	0.602		0.602	0.477	0.699	0.301	0.699	0.000	0.699	1.000	0.903	0.903	0.602	0.954	0.477	0.778	0.778	0.477	0.845	0.699	
EIF3E	1.114	0.903	1.041	1.114	1.114	1.079	0.954	1.176	1.079	0.845	0.845	0.477	0.602	0.954	1.041	0.845	1.000	0.903	0.903	0.699	0.954	0.699	0.778	1.000	0.954	1.301	0.845	1.114	0.954	1.255	1.146	1.279	1.000	1.041	0.954	1.301	1.041	1.079	1.230	0.845	0.954	0.778	0.778	0.954	0.778	1.146	1.146	1.079	1.114	0.778	1.000	0.845	1.079	0.954	0.845	1.230	0.699	1.114	0.602	0.954	1.041	0.954	0.778	0.845	1.000	1.079	0.602	1.079	1.114	0.845	1.041	0.903	0.845	0.301	0.845	1.041	0.845	0.903	1.000	0.954	1.000	0.778	0.699	0.778	1.079	0.602	1.146	1.041	0.954	1.146	1.204	1.230	0.845	0.954	0.954	1.000	1.000	0.903	1.000	0.778	
EIF3F	1.000	0.954	0.845	0.954	1.000	0.699	0.845	0.903	1.000	0.699	0.778	0.301	0.301	0.903	0.954	0.699	0.903	0.602	0.778	0.954	0.699	0.477	1.000	0.699	0.699	0.778	0.954	1.079	0.954	1.146	0.778	1.079	1.000	1.000	0.845	1.041	1.041	0.845	1.041	0.845	0.778	0.778	0.699	0.778	0.778	0.954	1.000	1.079	1.079	0.954	1.000	1.079	1.114	1.079	0.903	0.954	0.778	0.699	0.602	0.845	0.699	0.778	0.845	0.477	0.903	1.000	0.699	0.778	0.602	0.699	0.602	0.699	0.699	0.301	0.845	0.699	0.699	0.699	0.778	0.699	0.301	0.477	0.778	0.000	0.778	0.000	0.301	0.845	0.778	0.845	1.041	0.845	0.954	1.000	0.778	1.000	1.000	0.602	0.954	0.699	
EIF3G	0.301	0.477	0.477	0.602	0.699	0.477	0.602	0.301	0.477	0.602	0.301		0.301	0.845	0.477	0.301	0.699	0.602	0.477	0.477	0.477	0.477	0.699	0.477	0.477	0.602	0.000	0.845	0.778	0.954	0.602	0.845	0.000	0.477	0.602	0.845	0.845	0.699	0.778	0.477	0.699	0.301	0.301	0.602	0.301	0.903	0.778	0.845	0.699	0.477	0.699	0.903	0.954	0.778	0.477	0.602	0.845	0.845	0.301	0.954	0.778	0.301	0.699	0.477	0.845	0.903	0.477	0.699	1.079	0.699	0.477	0.301	0.477	0.301	0.699	0.602	0.602	0.000	0.778	0.699	0.602	0.000	0.778	0.477	0.845	0.699	0.845		0.602	0.845	0.954	0.845	0.845	0.778	0.602	0.602	0.602	0.000	0.602	0.301	
EIF3H	0.845	0.477	0.845	0.903	0.778	0.301	0.477	0.903	0.602	0.602	0.778	0.000	0.301	0.954	0.477	0.778	0.602	0.602	0.301	0.602	0.602	0.778	0.477	0.000	0.301	0.477		0.602	0.477	0.778	0.778	1.041	0.477	0.903	0.477	0.954	0.699	0.602	0.778	0.477	0.602	0.000	0.477	0.477	0.301	0.845	0.778	0.845	0.845	0.477	0.845	0.778	1.000	0.954	0.845	0.845	0.699	0.845	0.602	0.954	0.477	0.699	0.778	0.477	0.699	0.903	0.477	0.778	0.778	0.477	0.699	0.699	0.477	0.000	0.699	0.699	0.778	0.699		0.301	0.301	0.477	0.000	0.301	0.602	0.477	0.602	0.699	0.477	0.778	0.903	0.778	0.602	0.000	0.301	0.477	0.477	0.477	0.301	0.699	
EIF3I	1.041	0.699	0.699	1.079	0.845	0.903	0.845	1.146	1.146	0.477	0.903	0.602	0.602	1.000	1.000	0.699	0.903	0.903	0.903	1.000	1.041	1.041	0.778	0.903	0.477	0.778	0.699	0.778	0.903	1.000	0.778	1.041	0.602	1.000	1.000	1.041	1.000	1.041	0.903	0.301	0.778	0.699	0.778	0.602	0.845	1.000	1.000	1.000	0.954	0.954	1.000	0.954	0.903	0.845	0.845	0.903	0.602	0.845	0.602	0.699	0.845	0.602	0.778	0.845	0.903	0.903	0.602	0.699	1.041	0.699	0.778	0.778	0.778	0.477	0.778	0.903	0.778	0.602	0.602	0.699	0.699	0.477	0.778	0.699	0.845	0.477	0.778	0.699	0.954	0.903	1.079	1.176	1.000	0.954	0.602	0.903	0.778	0.301	0.602	0.477	
EIF3J	0.301	0.000	0.699	0.477	0.000	0.778	0.301	0.699	0.602		0.477		0.000	0.699	0.301	0.301	0.477	0.000		0.301	0.000	0.477	0.000	0.000	0.301	0.602	0.602	0.903	0.477	0.602	0.301	0.602	0.477	0.778	0.477	0.778	0.301	0.301	0.699	0.000	0.699	0.301	0.602	0.477	0.301	0.602	0.699	0.477	0.477	0.301	0.477	0.477	0.778	0.602	0.301	0.602	0.602	0.778	0.301	0.477	0.602	0.477	0.602	0.477	0.477	0.477			0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.699	0.602	0.602	0.000	0.602	0.477	0.477	0.301	0.477	0.000	0.602	0.699	0.845	0.602		0.477	0.000	0.000	0.301	0.301	0.477	0.301	
EIF3K	0.602	0.477	0.301	0.602	0.477	0.477	0.301	0.477	0.477	0.699	0.699	0.301	0.477	0.477	0.301	0.301	0.477	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.699	0.477	0.778	0.602	0.845	0.778	0.903	0.699	0.602	0.602	1.041	0.778	0.602	0.778	0.000	0.301		0.000	0.000	0.301	0.477	0.778	0.845	0.602	0.000	0.602	0.477	0.699	0.477	0.477	0.778	0.301	0.845	0.000	0.301	0.000	0.477	0.477	0.301	0.778	0.301		0.699	0.477	0.301	0.602	0.000	0.301		0.301	0.000	0.477	0.000	0.301		0.477		0.000		0.477	0.301	0.301	0.000	0.699	0.778	0.845	0.954	0.602	0.778	0.301	0.477	0.477	0.699	0.602	0.602	
EIF3L	1.322	1.000	1.079	1.342	1.230	1.301	1.041	1.230	1.301	1.176	1.204	0.954	0.699	1.398	1.146	1.176	1.176	1.114	1.176	1.176	1.114	1.146	1.230	1.041	1.079	1.114	1.114	1.079	1.230	1.342	1.255	1.362	1.204	1.301	1.342	1.415	1.146	1.114	1.322	1.041	0.845	0.301	0.699	1.041	1.204	1.362	1.380	1.398	1.279	1.176	1.114	1.342	1.380	1.398	0.954	1.204	1.279	1.255	0.845	1.079	1.146	0.954	1.114	1.000	1.176	1.146	0.845	1.204	1.255	0.778	1.079	0.903	1.079	0.778	1.114	1.000	1.204	1.114	1.000	1.079	1.230	0.778	1.176	1.000	1.079	0.778	0.954	0.954	1.204	1.176	1.431	1.431	1.041	1.176	0.699	1.146	1.114	1.146	1.255	0.903	
EIF3M	1.176	0.602	1.114	1.114	1.204	0.845	0.954	1.041	1.000	0.699	0.903	0.845	0.301	1.146	1.079	0.903	0.954	0.699	0.903	0.954	0.778	1.041	1.041	1.079	0.845	1.000	0.477	0.903	1.079	1.279	1.204	1.230	1.114	1.079	1.041	1.204	0.903	1.000	1.000	0.903	0.778	0.699	0.699	0.954	0.903	1.041	1.176	1.176	1.176	1.000	0.903	1.000	1.176	0.903	1.041	1.114	1.000	1.114	0.778	1.079	0.778	0.699	0.903	0.954	1.079	1.041	0.602	0.903	0.903	0.699	0.954	0.778	0.778	0.301	0.699	0.845	1.041	0.778	0.903	0.602	0.778	0.301	0.602	0.699	0.301	0.301	0.602	0.778	1.114	1.146	1.230	1.255	0.845	0.954	0.903	1.146	0.778	0.903	0.954	0.954	
